CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1435.0,1468.0,33.0,33.0,MÉDIO,Média,518.48,518.48,-97.99,0.0,0.0,938.97,938.97,0.0
H002 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2.0,0.0,0.0,0.0,2.0,3166.0,3218.0,52.0,52.0,MÉDIO,Média,786.5,786.5,-148.64,0.0,0.0,1424.36,1424.3600000000001,0.0
H003 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,11521.0,11846.0,325.0,325.0,MÉDIO,Média,5742.36,5742.36,-1085.31,0.0,0.0,10399.41,10399.41,0.0
H004 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2666.0,2877.0,211.0,211.0,LIDO,Sem ocorrência,3702.9,3702.9,-699.85,0.0,0.0,6705.95,6705.95,0.0
H005 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,1225.0,1349.0,124.0,124.0,MÉDIO,Média,2146.47,2146.47,-405.68,0.0,0.0,3887.26,3887.2599999999998,0.0
H006 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,268.0,274.0,6.0,6.0,LIDO/REVISÃO,Média,81.53,81.53,-15.41,0.0,0.0,147.65,147.65,0.0
H007 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,7187.0,7267.0,80.0,80.0,LIDO,Sem ocorrência,1359.31,1359.31,-256.91,0.0,0.0,2461.71,2461.71,0.0
H008 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,3700.0,4054.0,354.0,354.0,MÉDIO,Média,6261.17,6261.17,-1183.36,0.0,0.0,11338.98,11338.98,0.0
H009 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,29.0,29.0,0.0,0.0,LIDO,HIDRÔMETRO PARADO.,43.31,43.31,-8.19,0.0,0.0,78.43,78.43,0.0
H010 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2761.0,2790.0,29.0,29.0,MÉDIO,Média,446.92,446.92,-84.47,0.0,0.0,809.37,809.37,0.0
