CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297094,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1,0,0,0,1,1404.0,1435.0,31.0,31.0,MÉDIO,Sem ocorrência,482.7,482.7,-91.23,0,0,874.17,874.17,0
H002 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297116,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2,0,0,0,2,3116.0,3166.0,50.0,50.0,MÉDIO,Sem ocorrência,750.72,750.72,-141.88,0,0,1359.56,1359.56,0
H003 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297124,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1,0,0,0,1,11197.0,11521.0,324.0,324.0,MÉDIO,Sem ocorrência,5724.47,5724.47,-1081.93,0,0,10367.01,10367.01,0
H004 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297086,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1,0,0,0,1,2502.0,2666.0,164.0,164.0,MÉDIO,Sem ocorrência,2862.07,2862.07,-540.93,0,0,5183.21,5183.21,0
H005 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297078,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1,0,0,0,1,1096.0,1225.0,129.0,129.0,MÉDIO,Sem ocorrência,2235.92,2235.92,-422.6,0,0,4049.24,4049.2400000000002,0
H006 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,9185569,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1,0,0,0,1,262.0,268.0,6.0,6.0,MÉDIO,Sem ocorrência,81.53,81.53,-15.41,0,0,147.65,147.65,0
H007 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,9185550,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1,0,0,0,1,7094.0,7187.0,93.0,93.0,MÉDIO,Sem ocorrência,1591.88,1591.88,-300.86,0,0,2882.9,2882.9,0
H008 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297159,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1,0,0,0,1,3376.0,3700.0,324.0,324.0,LIDO,CONFIRMACAO LEITURA,5724.47,5724.47,-1081.93,0,0,10367.01,10367.01,0
H009 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297140,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1,0,0,0,1,28.0,29.0,1.0,1.0,LIDO,Alto Consumo,49.68,49.68,-9.39,0,0,89.97,89.97,0
H010 2024 Novembro,Medidor faturado pela UFSC,2024,Novembro,2297132,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1,0,0,0,1,2734.0,2761.0,27.0,27.0,MÉDIO,Sem ocorrência,411.14,411.14,-77.7,0,0,744.58,744.5799999999999,0
