CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297094.0,,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,764.0,802.0,38.0,38.0,Lido,,367.03,0.0,-34.69,0.0,0.0,332.34,332.34,0
H002 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297116.0,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,5012.0,5063.0,51.0,51.0,Lido,,464.39,0.0,-43.88,0.0,0.0,420.51,420.51,0
H003 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297124.0,,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,12783.0,13129.0,346.0,346.0,Lido,,3689.3,0.0,-348.64,0.0,0.0,3340.66,3340.6600000000003,0
H004 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297086.0,,B17C002619,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,772.0,945.0,173.0,173.0,Lido,,1823.22,0.0,-172.29,0.0,0.0,1650.93,1650.93,0
H005 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297078.0,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,17057.0,18286.0,1229.0,1229.0,Informado,,13213.87,0.0,-1248.72,0.0,0.0,11965.15,11965.150000000001,0
H006 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,9185569.0,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2866.0,2866.0,0.0,10.0,Mínimo,,65.0,0.0,-6.14,0.0,0.0,58.86,58.86,0
H007 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,9185550.0,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,4214.0,4214.0,0.0,10.0,Informado,,65.0,0.0,-6.14,0.0,0.0,58.86,58.86,0
H008 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297159.0,,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,16834.0,17731.0,897.0,897.0,Informado,,9632.72,0.0,-910.29,0.0,0.0,8722.43,8722.43,0
H009 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297140.0,,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,2540.0,2545.0,5.0,10.0,Mínimo,,65.0,0.0,-6.0,0.0,0.0,59.0,59.0,0
H010 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2297132.0,,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,898.0,942.0,44.0,44.0,Lido,,431.75,0.0,-40.8,0.0,0.0,390.95,390.95,0
H011 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,8149615.0,,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,25611.0,26773.0,1162.0,1162.0,Informado,,12491.17,0.0,-1180.42,0.0,0.0,11310.75,11310.75,0
H014 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296969.0,2018-09-25,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,449715.0,462038.0,12323.0,12323.0,Lido,,133149.35,133149.35,-25269.559999999998,17373.28,,258402.42,258402.42,0
H015 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296918.0,,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,1758.0,1710.0,-48.0,10.0,Mínimo,,65.0,65.0,-12.29,0.0,0.0,117.71,117.71000000000001,0
H017 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296950.0,,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,29767.0,253.0,-29514.0,253.0,Informado,,2686.15,2686.15,-507.68,0.0,0.0,4864.62,4864.62,0
H018 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296640.0,,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,2160.0,2188.0,28.0,28.0,Informado,,259.16,259.16,-48.98,0.0,0.0,469.34,469.34000000000003,0
H019 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,9097821.0,,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,3595.0,3746.0,151.0,151.0,Lido,,1614.0,1614.0,-305.04,0.0,0.0,2922.96,2922.96,0
H020 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296829.0,,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,25754.0,420.0,-25334.0,900.0,Informado,,9665.08,9665.08,-1826.7,0.0,0.0,17503.46,17503.46,0
H021 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296632.0,,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,2901.0,2887.0,-14.0,20.0,Mínimo,,130.01,130.01,-24.57,0.0,0.0,235.45,235.45,0
H023 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296934.0,,B10C010114,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,6396.0,6670.0,274.0,274.0,Lido,,2912.67,2912.67,-550.49,0.0,0.0,5274.85,5274.85,0
H024 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296926.0,,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,273.0,273.0,0.0,20.0,Informado,,130.0,130.0,-24.57,0.0,0.0,235.43,235.43,0
H025 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296900.0,,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,16046.0,16908.0,862.0,862.0,Informado,,9255.19,9255.19,-1749.23,0.0,0.0,16761.15,16761.15,0
H026 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,9912770.0,,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,2594.0,2636.0,42.0,42.0,Lido,,410.18,410.18,-77.52,0.0,0.0,742.84,742.84,0
H027 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296888.0,,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,33802.0,35382.0,1580.0,1580.0,Informado,,16999.97,16999.97,-3213.0,0.0,0.0,30786.94,30786.940000000002,0
H028 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,6205615.0,,B10C017964,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,151.0,74.0,-77.0,10.0,Mínimo,,65.0,65.0,-12.29,0.0,0.0,117.71,117.71000000000001,0
H029 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,7297220.0,,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1998.0,2002.0,4.0,10.0,Mínimo,,65.0,65.0,-12.29,0.0,0.0,117.71,117.71000000000001,0
H030 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296276.0,,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,,30.0,,,30,33618.0,556.0,-33062.0,556.0,Informado,,3387.32,3387.32,-640.21,0.0,0.0,6134.43,6134.43,0
H032 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296659.0,,C11C001576,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,7601.0,8054.0,453.0,453.0,Lido,,4843.47,4843.47,-915.42,0.0,0.0,8771.52,8771.52,0
H033 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296667.0,,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,6612.0,6857.0,245.0,245.0,Lido,,2758.71,2758.71,-521.39,0.0,0.0,4996.03,4996.03,0
H034 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,8416621.0,,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,6937.0,7202.0,265.0,265.0,Lido,,2815.59,2815.59,-532.15,0.0,0.0,5099.03,5099.030000000001,0
H035 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296845.0,,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,1446.0,1469.0,23.0,23.0,Lido,,205.23,205.23,-38.78,0.0,0.0,371.68,371.67999999999995,0
H037 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,6435548.0,,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,6454.0,6587.0,133.0,133.0,Lido,,1348.9,1348.9,-254.94,0.0,0.0,2442.86,2442.86,0
H038 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296683.0,,B10C014806,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1,9094.0,9360.0,266.0,266.0,Lido,,2826.37,2826.37,-534.18,0.0,0.0,5118.56,5118.5599999999995,0
H040 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296691.0,,C11C000642,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1,25255.0,26335.0,1080.0,1080.0,Informado,,11606.67,11606.67,-2193.66,0.0,0.0,21019.68,21019.68,0
H041 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296810.0,,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2,11559.0,11633.0,74.0,74.0,Informado,,712.48,712.48,-134.66,0.0,0.0,1290.3,1290.3,0
H042 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,2296802.0,,C11C001909,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1,8436.0,8610.0,174.0,174.0,Lido,,1834.01,1834.01,-346.62,0.0,0.0,3321.4,3321.4,0
H043 2018 Setembro,Medidor faturado pela UFSC,2018,Setembro,6816860.0,,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1.0,,,,1,832.0,836.0,4.0,10.0,Mínimo,,65.0,65.0,-12.29,0.0,0.0,117.71,117.71000000000001,0
