CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2016 Julho,1,2016,Julho,2297094,2016-07-20,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,3318,3356,38,38,Lido,,299.1,,-28.26,,,270.84,270.84,0
H002 2016 Julho,2,2016,Julho,2297116,2016-07-20,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3154,3165,11,20,Mínimo,,105.94,,-10.02,,,95.92,95.92,0
H003 2016 Julho,3,2016,Julho,2297124,2016-07-20,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,3998,4308,310,310,Lido,,2690.12,,-254.22,,,2435.9,2435.9,0
H004 2016 Julho,4,2016,Julho,2297086,2016-07-20,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1023,1118,95,95,Lido,,800.16,,-75.61,,,724.55,724.55,0
H005 2016 Julho,5,2016,Julho,2297078,2016-07-20,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,6521,6726,205,205,Lido,,1767.12,,-166.99,,,1600.13,1600.13,0
H006 2016 Julho,6,2016,Julho,9185569,2016-07-20,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2732,2797,65,65,Lido,,536.45,,-50.69,,,485.76,485.76,0
H007 2016 Julho,7,2016,Julho,9185550,2016-07-20,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,2737,2999,262,262,Informado,,2268.18,,-214.34,,,2053.84,2053.84,0
H008 2016 Julho,8,2016,Julho,2297159,2016-07-20,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,2203,2706,503,503,Lido,,4386.69,,-414.54,,,3972.15,3972.15,0
H009 2016 Julho,9,2016,Julho,2297140,2016-07-20,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1725,1767,42,42,Lido,,334.27,,-31.58,,,302.69,302.69,0
H010 2016 Julho,10,2016,Julho,2297132,2016-07-20,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,182,174,-8,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H011 2016 Julho,11,2016,Julho,8149615,2016-07-20,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,3835,4073,238,238,Informado,,2057.2,,-194.41,,,1862.79,1862.79,0
H014 2016 Julho,12,2016,Julho,2296969,2016-07-28,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,141228,154541,13313,13313,Lido,,117444.16,117444.16,,,,234888.32,234888.32,0
H015 2016 Julho,13,2016,Julho,2296918,2016-07-23,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,861,835,-26,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H017 2016 Julho,14,2016,Julho,2296950,2016-07-20,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,8328,8882,554,554,Informado,,4835.0,4835.0,-913.82,,,8756.18,8756.18,0
H018 2016 Julho,15,2016,Julho,2296640,2016-07-23,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,662,701,39,39,Lido,,307.89,307.89,-58.19,,,557.59,557.59,0
H019 2016 Julho,16,2016,Julho,9097821,2016-07-23,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,246,304,58,58,Informado,,439.98,439.98,-83.16,,,796.8,796.8,0
H020 2016 Julho,17,2016,Julho,2296829,2016-07-23,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,5982,6449,467,467,Médio,,4070.23,4070.23,-769.26,,,7371.2,7371.2,0
H021 2016 Julho,18,2016,Julho,2296632,2016-07-23,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,1185,1207,22,22,Médio,,123.52,123.52,-23.35,,,223.69,223.69,0
H023 2016 Julho,19,2016,Julho,2296934,2016-07-23,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,9149,9597,448,448,Informado,,3903.21,3903.21,-737.7,,,7068.72,7068.72,0
H024 2016 Julho,20,2016,Julho,2296926,2016-07-14,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,180,186,6,20,Mínimo,,105.94,105.94,-20.03,,,191.85,191.85,0
H025 2016 Julho,21,2016,Julho,2296900,2016-07-23,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,3047,3637,590,590,Lido,,5151.46,5151.46,-973.63,,,9329.29,9329.29,0
H026 2016 Julho,22,2016,Julho,9912770,2016-07-23,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,1458,1510,52,52,Médio,,422.17,422.17,-79.79,,,764.55,764.55,0
H027 2016 Julho,23,2016,Julho,2296888,2016-07-23,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,5749,6170,421,421,Médio,,3665.87,3665.87,-692.85,,,6638.89,6638.89,0
