CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2016 Junho,1,2016,Junho,2297094,2016-06-21,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,3255,3318,63,Lido,,518.87,,-49.04,,,469.83,6,2016-06-20
H002 2016 Junho,2,2016,Junho,2297116,2016-06-21,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,3153,3154,20,Informado,,105.94,,-10.02,,,95.92,6,2016-06-20
H003 2016 Junho,3,2016,Junho,2297124,2016-06-21,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,3658,3998,340,Lido,,2953.84,,-279.14,,,2674.7,6,2016-06-20
H004 2016 Junho,4,2016,Junho,2297086,2016-06-21,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,967,1023,56,Lido,,457.33,,-43.21,,,414.12,6,2016-06-20
H005 2016 Junho,5,2016,Junho,2297078,2016-06-21,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,6134,6521,387,Informado,,3366.99,,-318.19,,,3048.8,6,2016-06-20
H006 2016 Junho,6,2016,Junho,9185569,2016-06-21,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,2634,2732,98,Lido,,826.53,,-78.11,,,748.42,6,2016-06-20
H007 2016 Junho,7,2016,Junho,9185550,2016-07-03,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,2698,2737,39,Médio,,307.89,,-29.1,,,278.79,6,2016-06-20
H008 2016 Junho,8,2016,Junho,2297159,2016-06-21,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,1466,2203,737,Lido,,6443.66,,-608.93,,,5834.73,6,2016-06-20
H009 2016 Junho,9,2016,Junho,2297140,2016-06-21,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,1668,1725,57,Lido,,466.12,,-44.04,,,422.08,6,2016-06-20
H010 2016 Junho,10,2016,Junho,2297132,2016-07-03,C11C010472,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,172,182,10,Médio,,52.97,,-5.0,,,47.97,6,2016-06-20
