CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2015 Maio,1,2015,Maio,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2885,2914,29,29,,,196.53,,-18.69,,1.28,179.12,179.12,0
H002 2015 Maio,2,2015,Maio,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2968,3014,46,46,,,298.82,,-28.41,,1.71,272.12,272.12,0
H003 2015 Maio,3,2015,Maio,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,7292,7564,272,272,,,2104.78,,-203.58,,49.5,1950.7,1950.7,0
H004 2015 Maio,4,2015,Maio,2297086,,,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1796,1864,68,68,,,502.79,,-48.41,,9.53,463.91,463.91,0
H005 2015 Maio,5,2015,Maio,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,3525,3799,274,274,,,2120.49,,-201.64,,13.23,1932.08,1932.08,0
H006 2015 Maio,6,2015,Maio,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1998,2063,65,65,,,479.23,,-45.86,,6.12,439.49,439.49,0
H007 2015 Maio,7,2015,Maio,9185550,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1918,1977,59,59,,,432.11,,-40.99,,1.57,392.69,392.69,0
H008 2015 Maio,8,2015,Maio,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,9659,10211,552,552,,,4303.59,,-414.06,,77.94,3967.47,3967.47,0
H009 2015 Maio,9,2015,Maio,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1245,1281,36,36,,,251.5,,-24.16,,4.13,231.47,231.47,0
H010 2015 Maio,10,2015,Maio,2297132,,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,46,73,27,27,,,180.82,,-17.64,,5.83,169.01,169.01,0
H011 2015 Maio,11,2015,Maio,8149615,,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,15673,16942,1269,1269,,,9934.12,,-955.28,,174.64,9153.48,9153.48,0
H014 2015 Maio,12,2015,Maio,2296969,,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,156208,170495,14287,14287,,,112770.23,112770.23,-21659.14,,3656.73,207538.05,207538.05,0
H015 2015 Maio,13,2015,Maio,2296918,2015-05-20,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,,,,0,7813,8341,528,528,Informado,,5048.16,5048.16,-971.86,,187.85,9312.31,9312.31,0
H017 2015 Maio,14,2015,Maio,2296950,,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,15012,16401,1389,1389,,,10876.47,10876.47,-2064.61,,94.72,19783.05,19783.05,0
H018 2015 Maio,15,2015,Maio,2296640,2015-05-20,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,95,114,19,19,Lido,,118.0,118.0,-22.81,,5.41,218.6,218.6,0
H019 2015 Maio,16,2015,Maio,9097821,2015-05-20,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,6747,6799,52,52,Informado,,345.94,345.94,-82.72,,183.53,792.69,792.69,0
H020 2015 Maio,17,2015,Maio,2296829,2015-05-20,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,13445,14064,619,619,Informado,,4829.74,4829.74,-923.8,,116.06,8851.74,8851.74,0
H021 2015 Maio,18,2015,Maio,2296632,2015-05-20,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,974,995,21,21,Lido,,102.49,102.49,-19.68,,3.43,188.73,188.73,0
H023 2015 Maio,19,2015,Maio,2296934,2015-05-20,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,6018,6244,226,226,Lido,,1732.44,1732.44,-332.39,,52.56,3185.05,3185.05,0
H024 2015 Maio,20,2015,Maio,2296926,2015-05-20,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,175,175,0,20,Mínimo,,94.64,94.64,-18.21,,3.43,174.5,174.5,0
H025 2015 Maio,21,2015,Maio,2296900,2015-05-20,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,10658,11116,458,458,Lido,,3565.42,3565.42,-681.75,,83.63,6532.72,6532.72,0
H026 2015 Maio,22,2015,Maio,9912770,2015-05-20,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,806,835,29,29,Lido,,196.53,196.53,-38.03,,9.39,364.42,364.42,0
H027 2015 Maio,23,2015,Maio,2296888,2015-05-22,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,854,1692,838,838,Médio,,6549.52,6549.52,-1261.3,,248.03,12085.77,12085.77,0
H028 2015 Maio,24,2015,Maio,6205615,2015-05-20,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408,7408,0,10,Mínimo,,47.32,47.32,-9.1,,1.71,87.25,87.25,0
H029 2015 Maio,25,2015,Maio,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1909,1910,1,10,,,47.32,47.32,-9.1,,1.71,87.25,87.25,0
H030 2015 Maio,26,2015,Maio,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,,,,,0,22550,23634,1084,1084,,,6359.19,6359.19,-1212.62,,113.58,11619.34,11619.34,0
H032 2015 Maio,27,2015,Maio,2296659,2015-05-20,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,16418,16807,389,389,Lido,,3023.57,3023.57,-574.3,,30.16,5503.0,5503.0,0
H033 2015 Maio,28,2015,Maio,2296667,2015-05-20,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,3925,4112,187,187,Lido,,1494.19,1494.19,-284.57,,23.05,2726.86,2726.86,0
H034 2015 Maio,29,2015,Maio,8416621,2015-05-20,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,7724,7935,211,211,Lido,,1625.75,1625.75,-310.21,,31.01,2972.3,2972.3,0
H035 2015 Maio,30,2015,Maio,2296845,2015-05-20,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,167,193,26,26,Lido,,172.97,172.97,-32.9,,2.28,315.32,315.32,0
