CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2014 Novembro,1,2014,Novembro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2717.0,2749,32,32,,,220.08,,-20.79,,,199.29,199.29,0
H002 2014 Novembro,2,2014,Novembro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2870.0,2884,14,20,,,94.64,,-8.95,,,85.69,85.69,0
H003 2014 Novembro,3,2014,Novembro,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,5216.0,5550,334,334,,,2591.66,,-244.92,,,2346.74,2346.74,0
H004 2014 Novembro,4,2014,Novembro,2297086,2014-11-19,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1132.0,1189,57,57,Lido,,416.41,,-39.35,,,377.06,377.06,0
H005 2014 Novembro,5,2014,Novembro,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,2767.0,2904,137,137,,,1044.64,,-98.72,,,945.92,945.92,0
H006 2014 Novembro,6,2014,Novembro,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1731.0,1795,64,64,,,471.38,,-44.54,,,426.84,426.84,0
H007 2014 Novembro,7,2014,Novembro,9185550,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1779.0,1812,33,33,,,227.94,,-21.54,,,206.4,206.4,0
H008 2014 Novembro,8,2014,Novembro,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,6390.0,6968,578,578,,,4507.77,,-425.98,,,4081.79,4081.79,0
H009 2014 Novembro,9,2014,Novembro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1040.0,1077,37,37,,,259.35,,-24.51,,,234.84,234.84,0
H010 2014 Novembro,10,2014,Novembro,2297132,2014-11-19,,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1607.0,1707,100,100,Lido,,754.08,,-71.26,,,682.82,682.82,0
