CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2015 Outubro,1,2015,Outubro,2297094,2015-10-21 00:00:00,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,3039,3070,31,31,Lido,,237.57,,-22.45,,,215.12,215.12,0
H002 2015 Outubro,2,2015,Outubro,2297116,2015-10-21 00:00:00,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3056,3063,7,20,Mínimo,,105.94,,-10.02,,,95.92,95.92,0
H003 2015 Outubro,3,2015,Outubro,2297124,2015-10-21 00:00:00,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,761,1101,340,340,Lido,,2953.83,,-279.13,,,2674.7,2674.7,0
H004 2015 Outubro,4,2015,Outubro,2297086,2015-10-23 00:00:00,,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1864,316,-1548,32,Informado,,246.36,,-23.28,,,223.08,223.08,0
H005 2015 Outubro,5,2015,Outubro,2297078,2015-10-21 00:00:00,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,4803,5017,214,214,Lido,,1846.23,,-174.47,,,1671.76,1671.76,0
H006 2015 Outubro,6,2015,Outubro,9185569,2015-10-21 00:00:00,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2326,2410,84,84,Lido,,703.47,,-66.47,,,637.0,637.0,0
H007 2015 Outubro,7,2015,Outubro,9185550,2015-10-21 00:00:00,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,2307,2391,84,84,Lido,,703.47,,-66.47,,,637.0,637.0,0
H008 2015 Outubro,8,2015,Outubro,2297159,2015-10-21 00:00:00,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,12701,13388,687,687,Lido,,6004.14,,-567.39,,,5436.75,5436.75,0
H009 2015 Outubro,9,2015,Outubro,2297140,2015-10-21 00:00:00,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1427,1463,36,36,Lido,,281.52,,-26.61,,,254.91,254.91,0
H010 2015 Outubro,10,2015,Outubro,2297132,2015-10-23 00:00:00,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,131,135,4,10,Informado,,52.97,,-5.0,,,47.97,47.97,0
H011 2015 Outubro,11,2015,Outubro,8149615,2015-10-21 00:00:00,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,22034,23167,1133,1133,Lido,,9924.7,,-937.89,,,8986.81,8986.81,0
H014 2015 Outubro,12,2015,Outubro,2296969,2015-10-21 00:00:00,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,31134,43305,12171,12171,Lido,,107137.54,107137.54,-20248.99,,,194026.09,194026.09,0
