CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2014 Julho,1,2014,Julho,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2596,2623,27,27,,,168.75,,-15.95,,,152.8,152.8,0
H002 2014 Julho,2,2014,Julho,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2806,2817,11,20,,,88.32,,-8.34,,,79.98,79.98,0
H003 2014 Julho,3,2014,Julho,2297124,2014-07-18,F11C000559,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,3761,4082,321,321,Lido,,2323.45,,-219.56,,,2103.89,2103.89,0
H004 2014 Julho,4,2014,Julho,2297086,2014-07-18,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,829,887,58,58,Lido,,395.95,,-37.42,,,358.53,358.53,0
H005 2014 Julho,5,2014,Julho,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,2133,2265,132,132,,,938.28,,-88.67,,,849.61,849.61,0
H006 2014 Julho,6,2014,Julho,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1452,1513,61,61,,,417.93,,-39.5,,,378.43,378.43,0
H007 2014 Julho,7,2014,Julho,9185550,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1431,1493,62,62,,,425.26,,-40.18,,,385.08,385.08,0
H008 2014 Julho,8,2014,Julho,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,4465,4842,377,377,,,2733.87,,-258.36,,,2475.51,2475.51,0
H009 2014 Julho,9,2014,Julho,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,865,903,38,38,,,249.37,,-23.56,,,225.81,225.81,0
H010 2014 Julho,10,2014,Julho,2297132,,,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1497,1516,19,19,,,110.12,,-10.41,,,99.71,99.71,0
H011 2014 Julho,11,2014,Julho,8149615,2014-07-18,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,5055,5518,463,463,Lido,,3364.15,,-317.91,,,3046.24,3046.24,0
H014 2014 Julho,12,2014,Julho,2296969,,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,32987,44822,11835,11835,,,86795.21,86795.21,-16404.29,,,157186.13,157186.13,0
H015 2014 Julho,13,2014,Julho,2296918,2014-07-18,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,2540,2769,229,229,Médio,,1954.75,1954.75,-369.46,,,3540.04,3540.04,0
H017 2014 Julho,14,2014,Julho,2296950,2014-07-18,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,5698,6404,706,706,Lido,,5145.07,5145.07,-972.42,,,9317.72,9317.72,0
H018 2014 Julho,15,2014,Julho,2296640,2014-07-17,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,801,816,15,15,Lido,,80.8,80.8,-15.28,,,146.32,146.32,0
H019 2014 Julho,16,2014,Julho,9097821,2014-07-18,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,1033,1173,140,140,Lido,,1005.59,1005.59,-190.06,,,1821.12,1821.12,0
H020 2014 Julho,17,2014,Julho,2296829,2014-07-18,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,8063,8504,441,441,Lido,,3202.92,3202.92,-605.36,,,5800.48,5800.48,0
H021 2014 Julho,18,2014,Julho,2296632,2014-07-17,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,857,863,6,20,Mínimo,,88.32,88.32,-16.7,,,159.94,159.94,0
H023 2014 Julho,19,2014,Julho,2296934,2014-07-17,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,3440,3708,268,268,Lido,,1951.11,1951.11,-368.76,,,3533.46,3533.46,0
H024 2014 Julho,20,2014,Julho,2296926,2014-07-17,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,164,165,1,20,Mínimo,,88.32,88.32,-16.7,,,159.94,159.94,0
H025 2014 Julho,21,2014,Julho,2296900,2014-07-18,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,5322,6452,1130,1130,Lido,,8252.53,8252.53,-1559.72,,,14945.34,14945.34,0
H026 2014 Julho,22,2014,Julho,9912770,2014-07-18,,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,334,441,107,26,Lido,,161.42,161.42,-30.52,,,292.32,292.32,0
H027 2014 Julho,23,2014,Julho,2296888,2014-07-18,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,1.0,,2,2849,3542,693,693,Lido,,5581.14,5581.14,-1054.83,,,10107.45,10107.45,0
H028 2014 Julho,24,2014,Julho,6205615,2014-07-17,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408,7408,0,10,Mínimo,,44.16,44.16,-8.34,,,79.98,79.98,0
H029 2014 Julho,25,2014,Julho,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1893,1894,1,10,,,44.16,44.16,-8.34,,,79.98,79.98,0
H030 2014 Julho,26,2014,Julho,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,,,,,0,12301,13445,1144,1144,,,6396.42,6396.42,-1208.93,,,11583.91,11583.91,0
H032 2014 Julho,27,2014,Julho,2296659,2014-07-18,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,13186,13458,272,272,Lido,,1964.33,1964.33,-371.27,,,3557.39,3557.39,0
H033 2014 Julho,28,2014,Julho,2296667,2014-07-17,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,1999,2159,160,160,Lido,,1171.07,1171.07,-221.32,,,2120.82,2120.82,0
