CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1350.0,1355.0,5.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,51.19,0.0,-4.84,0.0,0.0,46.35,10,2020-10-20
H002 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,6291.0,11.0,46.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,462.46,0.0,-43.7,0.0,0.0,418.76,10,2020-10-20
H003 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,22327.0,22437.0,110.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1290.89,0.0,-121.99,0.0,0.0,1168.9,10,2020-10-20
H004 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3064.0,3177.0,113.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,1327.43,0.0,-125.44,0.0,0.0,1201.99,10,2020-10-20
H005 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,19910.0,19925.0,15.0,LIDO,0,133.79,0.0,-12.64,0.0,0.0,121.15,10,2020-10-20
H006 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,LIDO,HIDRÔMETRO PARADO.,29.49,0.0,-2.78,0.0,0.0,26.71,10,2020-10-20
H007 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,2370.0,2443.0,73.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,840.23,0.0,-79.4,0.0,0.0,760.83,10,2020-10-20
H008 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,32568.0,32904.0,336.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,4043.57,0.0,-382.12,0.0,0.0,3661.45,10,2020-10-20
H009 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,62.0,63.0,1.0,LIDO,0,33.83,0.0,-3.19,0.0,0.0,30.64,10,2020-10-20
H010 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1695.0,1697.0,2.0,LIDO,0,38.17,0.0,-3.61,0.0,0.0,34.56,10,2020-10-20
H011 2020 Outubro,Medidor faturado pela UFSC,2020.0,Outubro,8149615.0,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,36179.0,36246.0,67.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,767.15,0.0,-72.49,0.0,0.0,694.66,10,2020-10-20
