CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,110.0,119.0,9.0,0,0,68.55,0.0,-7.22,0.0,7.93,69.26,5,2021-05-20
H002 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,338.0,395.0,57.0,0,0,596.44,0.0,-58.43,0.0,21.83,559.84,5,2021-05-20
H003 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,23404.0,23506.0,102.0,0,0,1193.45,0.0,-117.39,0.0,48.74,1124.8,5,2021-05-20
H004 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3762.0,3799.0,37.0,0,0,401.75,0.0,-40.09,0.0,22.49,384.15,5,2021-05-20
H005 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,294.0,347.0,53.0,0,0,596.63,0.0,-58.33,0.0,20.72,559.02,5,2021-05-20
H006 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,0,0,29.49,0.0,-2.9,0.0,1.14,27.73,5,2021-05-20
H007 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,3499.0,3544.0,45.0,0,0,499.19,0.0,-48.83,0.0,17.42,467.78,5,2021-05-20
H008 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,35827.0,36118.0,291.0,0,0,3495.47,0.0,-349.34,0.0,201.16,3347.29,5,2021-05-20
H009 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,71.0,73.0,2.0,0,0,38.17,0.0,-3.72,0.0,1.3,35.75,5,2021-05-20
H010 2021 Maio,Medidor faturado pela UFSC,2021.0,Maio,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1707.0,1710.0,3.0,0,0,42.51,0.0,-4.16,0.0,1.38,39.73,5,2021-05-20
