CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297094,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1,0,0,0,1,119,123,4,4,LIDO,0,46.85,0.0,-4.43,0,0,42.42,42.42,0
H002 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297116,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1,0,1,0,2,395,449,54,54,LIDO,0,559.9,0.0,-52.92,0,0,506.98,506.97999999999996,0
H003 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297124,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1,0,0,0,1,23506,23636,130,130,LIDO/Revisão,0,1534.49,0.0,-145.0,0,0,1389.49,1389.49,0
H004 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297086,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1,0,0,0,1,3799,3844,45,45,LIDO,0,499.19,0.0,-47.17,0,0,452.02,452.02,0
H005 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297078,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1,0,0,0,1,347,406,59,59,LIDO,0,669.71,0.0,-63.29,0,0,606.42,606.4200000000001,0
H006 2021 Junho,Medidor faturado pela UFSC,2021,Junho,9185569,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1,0,0,0,1,10,10,0,0,LIDO,HIDROMETRO PARADO,29.49,0.0,-2.78,0,0,26.71,26.709999999999997,0
H007 2021 Junho,Medidor faturado pela UFSC,2021,Junho,9185550,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1,0,0,0,1,3544,3599,55,55,LIDO/Revisão,Confirmação de leitura,620.99,0.0,-58.69,0,0,562.3,562.3,0
H008 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297159,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1,0,0,0,1,36118,36446,328,328,LIDO,0,3946.13,0.0,-372.9,0,0,3573.23,3573.23,0
H009 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297140,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1,0,0,0,1,73,76,3,3,LIDO,0,42.51,0.0,-4.03,0,0,38.48,38.48,0
H010 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2297132,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1,0,0,0,1,1710,1714,4,4,LIDO,0,46.85,0.0,-4.43,0,0,42.42,42.42,0
H011 2021 Junho,Medidor faturado pela UFSC,2021,Junho,8149615,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1,0,0,0,1,37010,37038,28,28,LIDO/Revisão,Confirmação de leitura,292.13,0.0,-27.6,0,0,264.53,264.53,0
H014 2021 Junho,Medidor não faturado pela UFSC,2021,Junho,2296969,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51,0,6,1,58,740386,746270,5884,5884,0,0,69799.65,69799.65,-13192.14,0,0,126407.16,126407.15999999999,0
H015 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296918,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1,0,0,0,1,375,378,3,3,LIDO,0,42.51,42.51,-8.03,0,0,76.99,76.99,0
H017 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296950,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1,0,0,0,1,8040,8168,128,128,LIDO,ALTO CONSUMO,1510.13,1510.13,-285.41,0,0,2734.85,2734.8500000000004,0
H018 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296640,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1,0,0,0,1,3593,3656,63,63,LIDO,ALTO CONSUMO,718.43,718.43,-135.79,0,0,1301.07,1301.07,0
H019 2021 Junho,Medidor faturado pela UFSC,2021,Junho,9097821,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1,0,1,0,2,6636,6648,12,12,LIDO/Revisão,Confirmação de leitura,111.06,111.06,-20.98,0,0,201.14,201.14000000000001,0
H020 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296829,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1,0,0,0,1,9873,9883,10,10,LIDO,0,72.89,72.89,-13.78,0,0,132.0,132.0,0
H021 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296632,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2,0,0,0,2,5826,5928,102,102,MÉDIO,0,1144.54,1144.54,-216.32,0,0,2072.76,2072.7599999999998,0
H023 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296934,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1,0,0,0,1,11747,11775,28,28,LIDO/Revisão,Confirmação de leitura,292.13,292.13,-55.21,0,0,529.05,529.05,0
H024 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296926,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1,0,1,0,2,29,11,-18,0,LIDO/Revisão,Confirmação de leitura,58.98,58.98,-11.15,0,0,106.81,106.80999999999999,0
H025 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296900,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1,0,0,0,1,15922,13860,-2062,718,LIDO/Revisão,ALTO CONSUMO,8696.33,8696.33,-1643.61,0,0,15749.05,15749.05,0
H026 2021 Junho,Medidor faturado pela UFSC,2021,Junho,9912770,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1,0,0,0,1,1826,1921,95,95,LIDO,ALTO CONSUMO,1108.19,1108.19,-209.45,0,0,2006.93,2006.93,0
H027 2021 Junho,Medidor faturado pela UFSC,2021,Junho,16701186,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1,0,0,0,1,53312,53449,137,137,LIDO,0,1619.75,1619.75,-306.15,0,0,2933.35,2933.35,0
H028 2021 Junho,Medidor faturado pela UFSC,2021,Junho,6205615,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1,0,0,0,1,22,23,1,1,LIDO,0,33.83,33.83,-6.4,0,0,61.26,61.26,0
H029 2021 Junho,Medidor faturado pela UFSC,2021,Junho,7297220,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1,0,0,0,1,2120,4,-2116,4,LIDO,0,46.85,46.85,-8.86,0,0,84.84,84.84,0
H030 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296276,Trindade,E11C000101,H030,CASAN,Florianópolis - Trindade,Moradia Estudantil,0,30,0,0,30,19879,19899,20,20,LIDO,ALTO CONSUMO,923.9,923.9,-174.61,0,0,1673.19,1673.19,0
H032 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296659,Trindade,C11C001576,H032,CASAN,Florianópolis - Trindade,Biblioteca Central,1,0,0,0,1,15106,15886,780,780,LIDO,ALTO CONSUMO,9451.49,9451.49,-1786.33,0,0,17116.65,17116.65,0
H033 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296667,Trindade,B10C014063,H033,CASAN,Florianópolis - Trindade,"CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ",1,0,1,0,2,1602,1623,21,21,LIDO,0,157.96,157.96,-29.85,0,0,286.07,286.07,0
H034 2021 Junho,Medidor faturado pela UFSC,2021,Junho,8416621,Trindade,B10C014069,H034,CASAN,Florianópolis - Trindade,CTC - Eng. Sanitária e Amb. - CTC 12 e 37,1,0,0,0,1,6,83,77,77,LIDO,0,888.95,888.95,-168.02,0,0,1609.88,1609.88,0
H035 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296845,Trindade,B10C022164,H035,CASAN,Florianópolis - Trindade,CTC - Eng. Elétrica INEP - CTC 06,1,0,0,0,1,238,239,1,1,LIDO,0,33.83,33.83,-6.4,0,0,61.26,61.26,0
H037 2021 Junho,Medidor faturado pela UFSC,2021,Junho,6435548,Trindade,Y13F347112,H037,CASAN,Florianópolis - Trindade,"CTC - Eng. Mecânica - CTC 9, 10 e 37",1,0,0,1,2,144,172,28,28,LIDO,0,243.22,243.22,-45.96,0,0,440.48,440.48,0
H038 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296683,Trindade,B10C014806,H038,CASAN,Florianópolis - Trindade,CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE,1,0,0,0,1,7648,8535,887,887,LIDO/Revisão,ALTO CONSUMO,10754.75,10754.75,-2032.66,0,0,19476.84,19476.84,0
H040 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296691,Trindade,C11C000642,H040,CASAN,Florianópolis - Trindade,Reitoria I,1,0,0,0,1,38246,38303,57,57,LIDO,0,645.35,645.35,-121.97,0,0,1168.73,1168.73,0
H041 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296810,Trindade,C11C010608,H041,CASAN,Florianópolis - Trindade,CCE 1  Básico,1,0,1,0,2,13356,13358,2,2,LIDO,0,67.66,67.66,-12.79,0,0,122.53,122.53,0
H042 2021 Junho,Medidor faturado pela UFSC,2021,Junho,2296802,Trindade,C11C001909,H042,CASAN,Florianópolis - Trindade,CCE 2  R. Eng. Andrey C. Ferreira,1,0,0,0,1,9317,9288,-29,0,LIDO/Revisão,HIDROMETRO PARADO,29.49,29.49,-5.57,0,0,53.41,53.41,0
