CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2015 Junho,1,2015,Junho,2297094,2015-06-18,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2914,2948,34,34,,,235.79,,-23.2,,9.71,222.3,222.3,0
H002 2015 Junho,2,2015,Junho,2297116,2015-06-18,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3014,3036,22,22,,,110.35,,-10.77,,3.6,103.18,103.18,0
H003 2015 Junho,3,2015,Junho,2297124,2015-06-18,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,7564,7842,278,278,,,2151.9,,-212.3,,94.65,2034.25,2034.25,0
H004 2015 Junho,4,2015,Junho,2297086,2015-06-18,,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1864,1864,0,10,,,47.32,,-8.7,,44.81,83.43,83.43,0
H005 2015 Junho,5,2015,Junho,2297078,2015-06-18,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,3799,4099,300,300,,,2324.66,,-223.71,,42.59,2143.54,2143.54,0
H006 2015 Junho,6,2015,Junho,9185569,2015-06-18,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2063,2157,94,94,,,706.96,,-67.88,,11.41,650.49,650.49,0
H007 2015 Junho,7,2015,Junho,9185550,2015-06-18,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1977,2012,35,35,,,243.64,,-23.59,,6.0,226.05,226.05,0
H008 2015 Junho,8,2015,Junho,2297159,2015-06-18,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,10211,10780,569,569,,,4437.09,,-436.71,,184.26,4184.64,4184.64,0
H009 2015 Junho,9,2015,Junho,2297140,2015-06-18,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1281,1318,37,37,,,259.35,,-25.43,,9.72,243.64,243.64,0
H010 2015 Junho,10,2015,Junho,2297132,2015-06-18,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,73,97,24,24,,,157.26,,-15.24,,3.94,145.96,145.96,0
