CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297094.0,,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,802.0,844.0,42.0,42.0,Lido,,410.18,0.0,-39.34,0.0,5.99,376.83,376.83000000000004,0
H002 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297116.0,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,5063.0,5149.0,86.0,86.0,Lido,,841.92,0.0,-80.05,0.0,5.06,766.93,766.93,0
H003 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297124.0,,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,13129.0,13516.0,387.0,387.0,Lido,,4131.55,0.0,-395.2,0.0,50.53,3786.88,3786.8800000000006,0
H004 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297086.0,,B17C002619,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,945.0,1060.0,115.0,115.0,Lido,,1197.6,0.0,-114.41,0.0,13.1,1096.29,1096.2899999999997,0
H005 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297078.0,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,18286.0,19111.0,825.0,825.0,Informado,,8856.08,0.0,-853.51,0.0,175.72,8178.29,8178.29,0
H006 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,9185569.0,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2866.0,2868.0,2.0,10.0,Mínimo,,65.0,0.0,-6.24,0.0,1.13,59.89,59.89,0
H007 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,9185550.0,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,4214.0,4214.0,0.0,10.0,Informado,,65.0,0.0,-6.24,0.0,1.13,59.89,59.89,0
H008 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297159.0,,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,17731.0,18899.0,1168.0,1168.0,Informado,,12555.89,0.0,-1199.99,0.0,142.41,11498.31,11498.31,0
H009 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297140.0,,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,2545.0,2550.0,5.0,10.0,Mínimo,,65.0,0.0,-6.24,0.0,1.13,59.89,59.89,0
H010 2018 Outubro,Medidor faturado pela UFSC,2018,Outubro,2297132.0,,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,942.0,992.0,50.0,50.0,Lido,,496.47,0.0,-47.64,0.0,7.68,456.51,456.51000000000005,0
